timestamp,alg,model_file,ctx_file,success,error,params_changed,time_s
1764882704,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x33D1Cb59E0d1fa33c4B3ff73607c8516670D800D.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.278
1764930191,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x457C45404461f3149772dD4F0775401e23CE4Ccb.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.4549
1764946885,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x457C45404461f3149772dD4F0775401e23CE4Ccb.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.6386
1764966187,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x457C45404461f3149772dD4F0775401e23CE4Ccb.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.382
1764966668,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x457C45404461f3149772dD4F0775401e23CE4Ccb.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.449
1764967124,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x457C45404461f3149772dD4F0775401e23CE4Ccb.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.41
1764967374,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x457C45404461f3149772dD4F0775401e23CE4Ccb.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.393
1764967677,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x457C45404461f3149772dD4F0775401e23CE4Ccb.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.3068
1765003807,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x33D1Cb59E0d1fa33c4B3ff73607c8516670D800D.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.4775
1765013250,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x33D1Cb59E0d1fa33c4B3ff73607c8516670D800D.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.4284
1765018709,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x33D1Cb59E0d1fa33c4B3ff73607c8516670D800D.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.309
1765019198,CKKS,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\files\local models\local_HE_model_0x33D1Cb59E0d1fa33c4B3ff73607c8516670D800D.bin,D:\Haris NSUT\Semester 7\BTP\PQBFL_IMPLE_GIT\PQBFL-main\server\keys\CKKS_without_priv_key.pkl,False,decrypt_exception:you need to provide a secret_key,0,0.2877
